,STATION CODE,LOCATIONS,STATE,Temp,DO,PH,Conductivity,BOD,NI,Fec_col,Tot_col,year,WQI,WQI clf
44,2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",Maharashtra,27.0,6.0,7.3,269.0,8.5,0.4,32.0,58.0,2014.0,122.6463515942029,1
45,2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",Maharashtra,27.2,6.1,7.3,196.0,6.1,0.5,30.0,63.0,2014.0,100.87223797101448,1
46,2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",Maharashtra,27.0,5.9,7.4,269.0,6.4,0.4,19.0,47.0,2014.0,105.98451855072464,1
47,2696,"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",Maharashtra,22.6,6.3,7.8,223.0,4.6,0.9,15.0,32.0,2014.0,95.02341739130436,1
48,2199,SAVITRI RIVER AT OVALE VILLAGE.,Maharashtra,28.4,6.7,7.3,9293.0,3.5,1.8,233.0,0.0,2014.0,81.58642956521739,1
49,2701,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",Maharashtra,28.0,6.8,7.2,170.0,3.1,1.4,233.0,0.0,2014.0,73.77774927536231,2
50,2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",Maharashtra,27.6,6.8,7.3,4175.0,3.3,1.6,233.0,0.0,2014.0,78.18711594202898,1
51,2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",Maharashtra,27.9,6.9,7.3,4282.0,3.3,1.6,233.0,0.0,2014.0,77.72956898550723,1
52,2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",Maharashtra,28.1,6.9,7.3,5551.0,3.4,1.7,233.0,0.0,2014.0,78.90488231884058,1
53,2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",Maharashtra,27.1,6.8,7.9,5390.0,4.9,0.8,15.0,28.0,2014.0,98.13450927536235,1
54,2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",Maharashtra,27.6,6.6,8.1,161.0,4.6,0.3,16.0,32.0,2014.0,98.73101652173912,1
55,2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",Maharashtra,27.3,6.7,8.0,138.0,5.0,0.3,14.0,33.0,2014.0,100.00568956521738,1
56,2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",Maharashtra,27.8,6.7,7.8,81.0,4.9,0.3,14.0,35.0,2014.0,95.6363895652174,1
57,1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",Maharashtra,28.0,5.9,7.7,194.0,5.5,0.6,22.0,51.0,2014.0,103.2982652173913,1
58,1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",Maharashtra,28.1,6.3,7.6,186.0,4.6,0.6,13.0,31.0,2014.0,91.46605739130436,1
59,2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,Maharashtra,28.6,6.6,7.6,207.0,4.7,0.7,12.0,31.0,2014.0,90.90144985507246,1
60,2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",Maharashtra,26.9,6.8,7.7,85.0,5.0,0.4,15.0,34.0,2014.0,94.338195942029,1
61,2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,Maharashtra,23.0,7.1,7.4,176.0,2.7,0.9,233.0,30.0,2014.0,72.21894173913044,2
62,2713,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",Maharashtra,23.0,7.0,7.4,178.0,2.7,0.9,233.0,40.0,2014.0,72.70266869565216,2
63,2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",Maharashtra,23.0,7.2,7.2,180.0,2.7,1.0,233.0,70.0,2014.0,68.28646811594203,2
64,1342,"ACHENKOIL AT THUMPAMON, KERALA",Kerala,25.1,6.7,7.5,85.0,1.4,1.0,183.0,420.0,2014.0,63.34340289855072,2
65,1443,"ACHENKOIL AT CHENNITHULA, KERALA",Kerala,24.6,5.8,7.4,77.0,1.4,0.8,285.0,691.0,2014.0,68.22737884057972,2
66,3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",Kerala,25.7,6.6,7.5,75.0,1.4,0.7,183.0,448.0,2014.0,63.795649855072455,2
67,3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",Kerala,24.8,6.7,7.5,82.0,1.4,1.0,161.0,443.0,2014.0,62.86160289855073,2
68,2297,R ANCHARAKANDY AT MERUVAMBA,Kerala,27.3,6.7,6.9,56.0,0.9,0.2,82.0,172.0,2014.0,46.12089623188407,3
69,2319,R ANCHARAKANDY AT MERUVAMBA,Kerala,27.5,6.5,6.7,2240.0,1.2,0.2,136.0,304.0,2014.0,47.96959014492754,3
70,2286,R AYROOR AT AYROOR BRIDGE,Kerala,25.2,6.3,6.9,73.0,1.6,0.0,787.0,2008.0,2014.0,70.20793739130437,2
71,2331,R BHARATHAPUZHA AT KUTTIPPURAM,Kerala,29.9,7.0,7.4,130.0,0.7,0.1,301.0,590.0,2014.0,56.524442028985504,2
72,2332,R BHARATHAPUZHA AT PATTAMBI,Kerala,29.8,6.6,7.7,191.0,1.6,0.2,362.0,661.0,2014.0,73.0116631884058,2
73,1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",Kerala,27.8,6.9,6.9,134.0,1.1,0.4,249.0,531.0,2014.0,50.73782898550725,1
74,20,"CHALIYAR AT KOOLIMADU, KERALA",Kerala,26.7,7.0,7.5,80.0,0.8,0.4,2573.0,3583.0,2014.0,110.0371020289855,1
75,21,"CHALIYAR AT CHUNGAPALLY, KERALA",Kerala,25.8,6.7,7.4,14526.0,0.8,0.6,1411.0,1969.0,2014.0,86.90906956521741,1
76,3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",Kerala,26.4,7.2,7.4,82.0,0.7,0.5,840.0,1311.0,2014.0,67.66596144927537,2
77,1572,"CHANDRAGIRI AT PADIYATHADKA, KERALA",Kerala,29.8,7.5,7.2,67.0,1.1,0.1,76.0,590.0,2014.0,49.20144724637682,3
78,1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",Kerala,28.6,3.0,6.6,965.0,1.7,1.2,247.0,530.0,2014.0,69.82928695652176,2
79,2295,R CORAPUZHA AT KANAYANKODE,Kerala,26.9,5.9,7.4,17990.0,0.7,0.5,1888.0,2803.0,2014.0,101.34889188405798,1
80,1564,"R ITHIKKARA AT AYUR, KERALA",Kerala,26.0,6.7,7.5,90.0,1.6,0.9,199.0,473.0,2014.0,65.4692295652174,2
81,2287,R ITHIKKARA AT ITHIKKARA,Kerala,23.6,6.1,7.4,4429.0,2.0,1.6,243.0,550.0,2014.0,72.18100463768116,2
82,1566,"R KADALUNDI AT THIRURANGADY, KERALA",Kerala,30.3,6.7,6.9,87.0,1.7,0.2,155.0,350.0,2014.0,54.861776231884065,2
83,2293,R KADALUNDI AT HAJIRAPPALLY,Kerala,30.7,6.9,6.8,85.0,1.6,0.2,82.0,206.0,2014.0,49.632982318840575,3
84,2337,R KADAMBAYAR AT BRAHMAPURAM,Kerala,28.7,2.1,6.8,101.0,1.6,0.8,431.0,694.0,2014.0,80.61453623188406,1
85,2338,R KADAMBAYAR AT MANCKAKADAVU,Kerala,28.2,2.5,6.9,83.0,1.9,0.3,353.0,656.0,2014.0,81.29100173913042,1
86,42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",Kerala,24.8,7.2,7.6,75.0,1.4,1.0,188.0,426.0,2014.0,62.78358811594202,2
87,3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",Kerala,29.2,6.1,7.6,281.0,1.2,0.7,384.0,718.0,2014.0,70.71350463768115,2
88,3458,KARAPUZHA DAM AT WAYANAD,Kerala,26.6,6.7,7.6,106.0,0.5,2.5,44.0,71.0,2014.0,54.132542898550724,2
89,1571,"R KARINGODE AT KAKKADAVU,  KERALA",Kerala,30.4,7.6,7.1,58.0,1.2,0.1,163.0,961.0,2014.0,49.87190028985507,3
90,1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",Kerala,25.5,1.9,7.7,2941.0,26.9,2.8,10875.0,37375.0,2014.0,560.8819968115941,1
91,3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",Kerala,25.1,7.4,7.0,35.0,0.1,0.0,165.0,409.0,2014.0,39.26764086956521,3
92,2289,R KARUVANNURR AT KARUVANNUR BRIDGE,Kerala,28.9,6.4,7.2,63.0,1.3,0.4,121.0,535.0,2014.0,57.27812376811594,2
93,2301,R KAVVAI AT KUTTIYOL PALAM,Kerala,28.8,5.4,6.7,65.0,1.1,0.3,60.0,144.0,2014.0,50.19398,1
94,2291,R KEECHERI AT VADAKKANCHERY BRIDGE,Kerala,29.3,5.6,7.3,90.0,1.6,0.4,268.0,705.0,2014.0,68.81045942028986,2
95,2326,R KORAYAR AT KANJIKODE,Kerala,29.5,7.1,8.0,728.0,1.2,0.4,374.0,697.0,2014.0,72.68655507246378,2
96,1569,"R KUPPAM AT THALIPARAMBA, KERALA",Kerala,28.4,5.9,6.8,13953.0,1.5,0.4,70.0,166.0,2014.0,56.357478550724636,2
97,2298,R KUPPAM AT RAYAROM,Kerala,26.9,7.4,6.9,57.0,1.1,0.3,70.0,159.0,2014.0,44.26678086956522,3
98,1567,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",Kerala,25.8,7.2,7.2,41.0,0.7,0.2,441.0,658.0,2014.0,55.190581449275356,2
99,1568,"R MAHE AT VALAYAM, KERALA",Kerala,26.6,6.5,7.4,71.0,0.6,0.3,4192.0,7018.0,2014.0,145.45882347826088,1
100,2285,R MAMOM AT MAMOM BRIDGE,Kerala,25.3,6.8,7.1,81.0,0.8,0.0,389.0,1268.0,2014.0,55.236062608695654,2
101,1340,"MANIMALA  AT KALLOOPARA, KERALA",Kerala,28.2,6.8,6.9,68.0,1.7,0.1,449.0,660.0,2014.0,60.931175942029,2
102,1384,"MANIMALA AT THONDRA, KERALA",Kerala,28.5,6.6,7.0,70.0,1.4,0.1,550.0,822.0,2014.0,63.24192985507246,2
103,3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",Kerala,27.6,6.4,7.7,100.0,0.6,0.9,56.0,88.0,2014.0,58.2896904347826,2
104,2307,R MANJESWAR AT BAJRAKKARA BR.,Kerala,29.0,7.3,6.9,96.0,1.9,0.2,89.0,825.0,2014.0,52.39353449275364,2
105,1339,"MEENACHIL AT KIDANGOOR, KERALA",Kerala,27.5,6.8,6.6,49.0,0.5,0.4,1719.0,2950.0,2014.0,73.700195942029,2
106,43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",Kerala,27.8,6.9,6.8,59.0,0.6,0.5,1916.0,3375.0,2014.0,82.03664231884059,1
107,2302,R NEELASWARAM AT NAMBIARKAL DAM,Kerala,30.2,7.1,6.8,14410.0,1.8,0.1,65.0,468.0,2014.0,53.263715072463775,2
108,1563,"R NEYYAR AT AMARAVILA, KERALA",Kerala,25.3,6.7,7.1,66.0,0.6,0.0,222.0,626.0,2014.0,50.11150956521739,1
109,2284,R NEYYAR AT ARUVIPURAM,Kerala,25.3,7.2,7.0,59.0,0.6,0.0,165.0,433.0,2014.0,44.6663747826087,3
110,2288,R PALLICKAL AT NELLIMUKAL,Kerala,25.8,6.0,7.6,120.0,1.3,1.1,212.0,523.0,2014.0,68.24400492753622,2
111,1156,"PAMBA AT CHENGANNUR, KERALA",Kerala,27.2,5.2,6.8,55.0,0.6,0.7,171.0,313.0,2014.0,50.997967246376795,1
112,1341,"PAMBA AT THAKAZHY, KERALA",Kerala,28.1,4.8,6.8,86.0,0.7,0.8,208.0,332.0,2014.0,54.647148405797104,2
113,1565,"PAMBA DOWN, KERALA",Kerala,28.3,3.9,6.9,62.0,0.5,0.7,155.0,284.0,2014.0,57.74445768115943,2
114,17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",Kerala,28.1,5.0,6.9,3185.0,1.8,0.4,290.0,667.0,2014.0,67.68212115942029,2
115,18,"PERIYAR AT KALADY, KERALA",Kerala,27.7,7.0,7.0,36.0,1.1,0.2,276.0,541.0,2014.0,52.54821536231884,2
116,1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",Kerala,28.0,6.3,6.9,64.0,1.2,0.3,381.0,815.0,2014.0,57.46289739130435,2
117,2333,RIVER PERIYAR AT MUPPATHADAM,Kerala,28.2,6.2,6.9,86.0,1.3,0.2,372.0,1007.0,2014.0,58.66643101449276,2
118,2334,RIVER PERIYAR AT PATHALAM,Kerala,28.0,5.7,6.8,2640.0,1.9,0.5,385.0,759.0,2014.0,65.47448579710145,2
119,2335,R PERIYAR AT KALAMASSERY,Kerala,28.1,5.7,6.9,53.0,3.1,0.4,574.0,1205.0,2014.0,81.52783246376812,1
120,2336,R PERIYAR AT PURAPPALLIKAVU,Kerala,28.1,6.6,7.1,2007.0,1.3,0.2,356.0,785.0,2014.0,60.234263188405805,2
121,3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",Kerala,28.1,6.6,7.0,46.0,1.3,0.3,228.0,472.0,2014.0,55.18011652173913,2
122,2300,R PERUVAMBA AT CHANDAPPURA,Kerala,27.3,6.5,6.5,43.0,0.9,0.4,87.0,188.0,2014.0,40.2720968115942,3
123,2303,R PULLUR AT PULLUR BR.,Kerala,28.3,6.7,6.3,54.0,0.9,0.1,136.0,610.0,2014.0,36.983282898550726,3
124,2290,R PUZHACKAL AT PUZHACKAL BRIDGE,Kerala,29.1,4.3,7.2,113.0,1.8,0.4,188.0,796.0,2014.0,73.35606985507246,2
125,2299,R RAMAPURAM AT RAMAPURAM BRIDGE,Kerala,28.7,4.6,6.7,12561.0,1.5,0.6,72.0,171.0,2014.0,60.63653565217392,2
126,2305,R SHRIYA AT ANGADIMOGARU,Kerala,28.5,7.7,6.9,61.0,1.6,0.0,88.0,554.0,2014.0,47.7023,3
127,2296,R THALLASSERY AT PATHIPPALAM,Kerala,26.6,5.8,6.5,61.0,1.0,0.4,70.0,151.0,2014.0,44.14502550724639,3
128,2292,R THIRUR AT THALAKKADATHUR BRIDGE,Kerala,31.0,4.5,6.9,1614.0,2.1,0.6,131.0,230.0,2014.0,68.80936260869566,2
129,3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",Kerala,28.8,6.6,7.0,14487.0,0.9,0.3,55.0,103.0,2014.0,50.91185652173913,1
130,1442,"VAMANAPURAM, KERALA",Kerala,25.3,6.9,7.5,54.0,0.6,0.0,319.0,1633.0,2014.0,58.455935652173906,2
131,1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",Andhra Pradesh,25.9,5.5,7.6,569.0,1.3,0.9,18.0,141.0,2014.0,66.35491304347825,2
132,2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",Andhra Pradesh,26.5,5.4,7.8,310.0,0.8,2.4,7.0,107.0,2014.0,65.73844,2
133,3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",Andhra Pradesh,18.9,7.1,7.8,516.0,0.7,0.5,2.0,1238.0,2014.0,56.6506684057971,2
134,3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",Andhra Pradesh,20.5,6.9,8.0,505.0,0.9,0.7,2.0,1563.0,2014.0,62.946188985507234,2
135,1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",Karnataka,27.1,7.3,7.3,109.0,2.4,3.4,18.0,65.0,2014.0,62.37996115942028,2
136,2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",Karnataka,26.3,7.5,7.5,83.0,2.1,2.0,22.0,74.0,2014.0,62.16578057971014,2
137,1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,Karnataka,29.1,6.4,7.2,102.0,1.0,0.0,137.0,1223.0,2014.0,55.09233043478261,2
138,1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,Karnataka,28.4,6.5,7.1,92.0,1.0,0.0,155.0,1342.0,2014.0,53.29702347826086,2
